Year,Stock/Flow ID,Layer 1,Layer 2,Layer 3,Layer 4,mean,sd,p2_5,p25,p50,p75,p97_5,deterministic
2040,ELV_shredded,BEV,elvThermalManagement,calstainlessSteel,,50128389.84012656,4401629.340636834,41555175.29275827,47022767.26105808,50160636.55230768,53238465.96354295,58491086.29140012,52028777.089401245
2040,ELV_shredded,BEV,elvTransmission,calAl_6xxx,,9414951.131422447,2723622.418039939,4084557.430717785,7497230.731423099,9433016.198330607,11343187.673685094,14600201.549122669,10594619.942184446
2040,ELV_shredded,BEV,elvTransmission,calAl_7xxx,,2354048.5995484027,680995.5197204378,1021274.2015691712,1874555.189659422,2358565.4626592454,2836171.392173631,3650532.385147277,2649004.7467595097
2040,ELV_shredded,BEV,elvTransmission,calHSS,,9134190.157148147,2642401.9344739574,3962752.8342074268,7273657.632090873,9151716.510077376,11004925.225140776,14164812.479725184,10278680.350410461
2040,ELV_shredded,BEV,elvTransmission,calMagnesium,,2665880.8502718965,771204.5178217419,1156558.6782542523,2122870.693429838,2670996.0458004866,3211868.6946119717,4134105.124562198,2999908.7648489
2040,ELV_shredded,BEV,elvTransmission,calalloySteel,,12182489.996366514,3524235.2720144284,5285219.152463724,9701052.837245505,12205865.316516384,14677534.533384096,18891952.473708592,13708924.205692291
2040,ELV_shredded,BEV,elvTransmission,calcastAluminiumAlSiCu,,7059602.727784728,2042250.8819698354,3062719.3255895423,5621640.49325124,7073148.437565083,8505450.270013548,10947653.497466508,7944152.5292747505
2040,ELV_shredded,BEV,elvTransmission,calcastAluminiumAlSiMg,,4707777.588023921,1361898.5801311024,2042409.74391808,3748855.869452114,4716810.700987467,5671957.715074814,7300569.134574697,5297649.83601265
2040,ELV_shredded,BEV,elvTransmission,calmildSteel,,30459787.806819413,8811618.85615214,13214593.563762257,24255469.203206692,30518232.943396084,36698128.834703416,47235406.208198,34276319.74167023
2040,ELV_shredded,BEV,elvTransmission,calstainlessSteel,,9129383.535004642,2641011.4414546783,3960667.542003691,7269830.065198003,9146900.665161557,10999134.178932551,14157358.627752291,10273271.471054077
